Image ID;External ID;Image URL;Object Name;Annotation Type;Annotation Details
cm2ogw8721m780744ehc6fgdt;Dag0-3.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2F056b1cc3-76bf-02bc-271c-9c65f84a8348-Dag0-3.jpg?Expires=1731342067074&KeyName=labelbox-assets-key-3&Signature=1vqZ24FFcRztCrJ-y09jEE6lYas;Day0;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogw8721m7907441raeec4q;Dag0-4.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2Fd6f775b5-1e3c-7cfb-3b1c-5acf2a06bf61-Dag0-4.jpg?Expires=1731342067076&KeyName=labelbox-assets-key-3&Signature=cm1JTWeytghrhQTPC0VBw2ebMWo;Day0;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogw8721m7c07447mgsxo8n;Dag0-7.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2F14ac624d-1a7f-df6c-2d88-41153eb113a8-Dag0-7.jpg?Expires=1731342067078&KeyName=labelbox-assets-key-3&Signature=0jiJ265nmZm9Gv734v0MKU32BAI;Day0;ImageBoundingBox;Top: 5.0, Left: 0.0, Height: 3461.0, Width: 4611.0
cm2ogw8721m7m0744lm3jfeox;Dag0-17.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2Fb23bf7ce-3a21-7ae5-76ee-2825a92193ed-Dag0-17.jpg?Expires=1731342067079&KeyName=labelbox-assets-key-3&Signature=3jFRTGdOfDTSjEQRxiO5dd0TL5g;Day0;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogw8721m7t07449nrhdvxm;Dag0-24.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2F345e6bf0-c79f-5aea-3644-abebc462889f-Dag0-24.jpg?Expires=1731342067083&KeyName=labelbox-assets-key-3&Signature=sPtZ8DCc6TnucCHpHucIVYzHTNU;Day0;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogw8721m7u07441xjubuer;Dag0-25.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2F8dccebee-33bf-4bcd-e38b-9cec0241b660-Dag0-25.jpg?Expires=1731342067081&KeyName=labelbox-assets-key-3&Signature=ZP8xFiY9Gi3-cKRhL75v84dR_aU;Day0;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogw8721m7w0744200kz5i2;Dag0-27.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2F275692c4-3eff-45ad-9502-a52064e0afda-Dag0-27.jpg?Expires=1731342067085&KeyName=labelbox-assets-key-3&Signature=VJzqsnTu_UA03MUycJbXsolCW8Q;Day0;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogw8721m7z0744oozm4ssb;Dag0-30.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2F6e0564a1-707d-ddd7-dfe4-4a4a65906446-Dag0-30.jpg?Expires=1731342067085&KeyName=labelbox-assets-key-3&Signature=5towzfyyx15PKcaOU8CMx_ZSnko;Day0;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogw8721m800744qrm3032n;Dag0-31.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2F74cda9c0-3b88-8714-10d8-781fbf598d25-Dag0-31.jpg?Expires=1731342067086&KeyName=labelbox-assets-key-3&Signature=vbcHaWhigBdPtH5RkQQq-e7HEt0;Day0;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogw8721m810744f90fw0y0;Dag0-32.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2Ff89a8b9d-25d1-8093-d5bc-5eab82c6137f-Dag0-32.jpg?Expires=1731342067087&KeyName=labelbox-assets-key-3&Signature=V2z8knmC0KqZTiUOS95h_wHK8FU;Day0;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 4624.0, Width: 3472.0
cm2ogw8721m840744g8h2yyzk;Dag0-35.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2Fc3a4fe0d-7a9b-4cc7-914b-11f96489dee5-Dag0-35.jpg?Expires=1731342067090&KeyName=labelbox-assets-key-3&Signature=6SCeIyknW_mTTwgFKvlbfJsXdDk;Day0;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogw8721m860744qi5xa44f;Dag0-37.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2F5da19f3a-9bfc-d816-4256-30a9f6e0ddba-Dag0-37.jpg?Expires=1731342067090&KeyName=labelbox-assets-key-3&Signature=QR1pircUYmjkWrrp8M-RYhxpXsw;Day0;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 4624.0, Width: 3472.0
cm2ogw8721m870744vgflllkr;Dag0-38.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2F2a0863fd-af76-e7f7-5040-3fd3be8b51eb-Dag0-38.jpg?Expires=1731342067090&KeyName=labelbox-assets-key-3&Signature=ayYW6De4qAoLP6OUoL8UO5Rmqj4;Day0;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogw8721m880744yzztzchk;Dag0-39.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2F6293be6e-1ac5-1e33-6c3b-5d3e0fe1c647-Dag0-39.jpg?Expires=1731342067092&KeyName=labelbox-assets-key-3&Signature=3F8VMuGigzMX5jrrtLmSSX42EIQ;Day0;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogw8721m890744904fb9k9;Dag0-40.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2F4945ceb2-f306-1e40-1b87-cc95b9cb7a71-Dag0-40.jpg?Expires=1731342067093&KeyName=labelbox-assets-key-3&Signature=2lXSHSY5nYrnW465nn584fimnNw;Day0;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 4624.0, Width: 3472.0
cm2ogw8721m8a0744kch71x02;Dag0-41.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2Ff09cd445-6a89-3133-9ecd-aad3691bcced-Dag0-41.jpg?Expires=1731342067093&KeyName=labelbox-assets-key-3&Signature=YRdsOwAPvKCmBs8YQGdysJZ_bes;Day0;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogw8721m8c0744z1dtqks9;Dag0-43.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2F68d8eef7-e2c1-00d4-4129-b524adcd7eed-Dag0-43.jpg?Expires=1731342067094&KeyName=labelbox-assets-key-3&Signature=kvNlCPeVqKHZzeqkus9G5h6dakk;Day0;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogw8721m8e0744zldslvc1;Dag0-45.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2Fe60703ce-9097-513d-14f2-99f6784bed0f-Dag0-45.jpg?Expires=1731342067098&KeyName=labelbox-assets-key-3&Signature=aSJSw6OXvwlLfIFVjZidRUFUvc4;Day0;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogzb3t03d00784o5q3kf2g;Dag1-3.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2Fc52a1716-6142-d32b-3080-d8c8b032fb33-Dag1-3.jpg?Expires=1731342067095&KeyName=labelbox-assets-key-3&Signature=eSoVYrZOn-sx8NB9dpe-MbYequQ;Day1;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogzb3t03d107840fqjj9m7;Dag1-4.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2F4c114faf-fe12-7dd6-47a7-ef6d0edd8c70-Dag1-4.jpg?Expires=1731342067095&KeyName=labelbox-assets-key-3&Signature=6_ed-sp-087g8sqgy0YVKZoZ5Y0;Day1;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogzb3t03d20784frwrwxt7;Dag1-5.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2Fc9291656-1855-1108-a216-05ab5aec7927-Dag1-5.jpg?Expires=1731342067094&KeyName=labelbox-assets-key-3&Signature=t4E1wvWwQu8cBrllJyOe-McrZ4k;Day1;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogzb3t03d40784arv6bvrn;Dag1-7.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2F53bfcf03-7855-d078-5a5c-2779623b5f5e-Dag1-7.jpg?Expires=1731342067098&KeyName=labelbox-assets-key-3&Signature=SpccbnU_4qHZyRUjglrMxfgDK6o;Day1;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogzb3t03d50784aeevxd22;Dag1-8.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2F28a33692-8466-7833-feda-7f05d9084357-Dag1-8.jpg?Expires=1731342067099&KeyName=labelbox-assets-key-3&Signature=nUZvl8MeFH7p_rQ-f6OALrJnfos;Day1;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogzb3t03d60784ar97fw33;Dag1-9.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2F8757b5ca-67b1-963d-fdd9-74ece5122852-Dag1-9.jpg?Expires=1731342067099&KeyName=labelbox-assets-key-3&Signature=qvyNpU5GZX97gM5IQvo_hNLzkX0;Day1;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogzb3t03d707848vw3uea1;Dag1-10.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2Ff42190bd-af29-3adb-b767-e127fc0993e3-Dag1-10.jpg?Expires=1731342067098&KeyName=labelbox-assets-key-3&Signature=odbJVMVs7fzJ5S71FGzX8hPx_pc;Day1;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogzb3t03d80784s8lv7ssf;Dag1-11.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2F07475b32-ea3d-45ca-88e1-355181c35359-Dag1-11.jpg?Expires=1731342067104&KeyName=labelbox-assets-key-3&Signature=RttsxT2kjZ9jSueRiN-onHPiaV8;Day1;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogzb3t03da0784qs6e8je4;Dag1-13.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2Fd4a9e4fd-2823-148c-f5b9-ddf28205df88-Dag1-13.jpg?Expires=1731342067105&KeyName=labelbox-assets-key-3&Signature=AZ3itSFqWGNCKfDe0-myj1cVh98;Day1;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogzb3t03db07844ny7iwzn;Dag1-14.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2F847be1fa-d798-db16-068f-dc2dc5fa07c8-Dag1-14.jpg?Expires=1731342067105&KeyName=labelbox-assets-key-3&Signature=hIZ8jivUFJJCtmqjYMZYnIWp8Ug;Day1;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogzb3t03dd0784urrmstc8;Dag1-16.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2F6c63b63f-ff64-339d-b70f-4fef551cba70-Dag1-16.jpg?Expires=1731342067106&KeyName=labelbox-assets-key-3&Signature=6mb8Mdrkr0Pg53iZgJmbujXQ9Jg;Day1;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
cm2ogzb3t03di0784rh88j3q6;Dag1-21.jpg;https://storage.labelbox.com/cm2309tlj04u307y7hser89v1%2F8e12f2f0-b58c-1174-56b1-12474417d2b6-Dag1-21.jpg?Expires=1731342067107&KeyName=labelbox-assets-key-3&Signature=59UNvIu_mJWkgYVpsfhWL-efC1A;Day1;ImageBoundingBox;Top: 0.0, Left: 0.0, Height: 3472.0, Width: 4624.0
